actual,proposed
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,-1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
0.02500000037252903,1.0
